id,x,y,ux,uy,fintx,finty,bcx,bcy,ux_orig,uy_orig
0.0,0.1,0.0,0.39405889860063326,0.00019131886074319482,2.0568009101440412e-13,-0.05740904981133418,0.0,3.0,0.3935307884188617,0.0
1.0,1.6684e-15,0.1,0.00012998336751479656,0.4603384955553338,-0.05729622025625615,6.35689417771701e-15,1.0,0.0,0.0,0.4621331782374389
2.0,0.0,1.0,7.568596629425883e-05,0.40005412040045485,-0.029162017790656775,0.028243929808772838,1.0,4.0,0.0,0.4
3.0,1.0,1.0,0.2000182882475201,0.39994278008816764,0.028117355097205587,0.028269258776522838,2.0,4.0,0.2,0.4
4.0,1.0,0.0,0.19992403683863813,-2.1403786377049983e-05,0.02700993976014389,-0.029069967687013275,2.0,3.0,0.2,0.0
5.0,0.09807850000000001,0.019509,0.3863223897496937,0.08926381479250267,9.234765729893011e-13,2.596395320964007e-13,0.0,0.0,0.3837887624097574,0.08927245687111032
6.0,0.092388,0.0382683,0.36472719701123424,0.17501996329519898,6.9754271803113e-13,9.230116670977395e-14,0.0,0.0,0.36100441830543023,0.17376452015159108
7.0,0.083147,0.055557,0.3293513462122064,0.25407527561765164,-4.1651126991837365e-12,-2.516403752039764e-12,0.0,0.0,0.3241632843946585,0.2474997311707614
8.0,0.0707107,0.0707107,0.28137601097114384,0.3235445120953955,1.1811038258535686e-13,1.3424678035889315e-13,0.0,0.0,0.2739798726816458,0.3068719203305352
9.0,0.055557,0.083147,0.222382013394963,0.38106856867671013,5.800858925153474e-13,8.091354192565902e-13,0.0,0.0,0.21499800618685214,0.3683111959140232
10.0,0.0382683,0.092388,0.15414292542845942,0.4243950870586559,-3.7788348838940777e-13,-4.521834295889704e-13,0.0,0.0,0.15424681197092766,0.41364080607181897
11.0,0.019509,0.09807850000000001,0.07894054437929299,0.4512301118229516,1.687903289360193e-13,3.200963799576684e-13,0.0,0.0,0.07605221607979537,0.4473286962129077
12.0,0.0,0.967857,-2.7355010388419032e-05,0.3954803876040387,-0.05831370958504236,-1.214306433183765e-16,1.0,0.0,0.0,0.3952289750626629
13.0,0.0,0.935714,1.1096068192273378e-05,0.3909902379527921,-0.05831708751643765,2.8449465006019636e-16,1.0,0.0,0.0,0.39049470929928337
14.0,0.0,0.903571,3.973075945395976e-05,0.38660641775641125,-0.05832790578866363,-2.3592239273284576e-16,1.0,0.0,0.0,0.38582920437640067
15.0,0.0,0.871429,2.106271858792752e-05,0.38229849163326435,-0.058284587779897014,2.463307335887066e-16,1.0,0.0,0.0,0.3812675832363124
16.0,0.0,0.839286,9.303475962951779e-07,0.37809422056307085,-0.058300335797849365,-1.6306400674181987e-16,1.0,0.0,0.0,0.3768771955561321
17.0,0.0,0.807143,5.29061071574688e-06,0.3740649103419855,-0.05828555133984599,-1.0408340855860844e-16,1.0,0.0,0.0,0.37267588779590227
