x,y,ux,uy,fintx,finty,bcx,bcy,ux_orig,uy_orig
0.1,0.0,0.10874351849588493,0.0,-1.465841337200402e-16,-0.03277313990229296,0,3,0.10955137522158669,0.0
1.6684e-15,0.1,0.0,0.11823773922060354,-0.08552370473978979,1.3444106938820253e-16,1,0,0.0,0.11860943182566303
0.0,1.0,0.0,0.41,-0.032552620600601455,0.029118636540859912,1,4,0.0,0.41
1.0,1.0,0.205,0.41,0.030565199388322757,0.028456005677477234,2,4,0.205,0.41
1.0,0.0,0.205,0.0,0.03232815222286576,-0.030859226362290264,2,3,0.205,0.0
0.09807850000000001,0.019509,0.10728017200358408,0.028047944253103196,3.6515929169311784e-16,4.250072516143177e-17,0,0,0.1056638473761805,0.0278478540491743
0.092388,0.0382683,0.09589447606458634,0.05481463500746031,-1.89084858881472e-16,-4.076600168545497e-17,0,0,0.09634592298584102,0.053601024819120685
0.083147,0.055557,0.08130546570509978,0.07670583587378133,1.1796119636642288e-16,1.2836953722228372e-16,0,0,0.08257254679817343,0.07550306936317276
0.0707107,0.0707107,0.06629117741022128,0.0929082997452042,1.52655665885959e-16,-1.3877787807814457e-17,0,0,0.06678822710012661,0.09236006626144906
0.055557,0.083147,0.05131626075581153,0.1042048770771089,-4.163336342344337e-17,1.3877787807814454e-16,0,0,0.0504428733921244,0.10448774243062155
0.0382683,0.092388,0.035847018675212894,0.11176187642058721,-1.7347234759768068e-16,-1.2143064331837648e-17,0,0,0.03393281095898085,0.1127857394395574
0.019509,0.09807850000000001,0.01899317693141711,0.11642098936476941,1.4051260155412135e-16,1.0581813203458523e-16,0,0,0.017051882123882436,0.1173037443072818
0.0,0.967857,0.0,0.39789757239611845,-0.06510961777088549,2.498001805406602e-16,1,0,0.0,0.397660083464962
0.0,0.935714,0.0,0.3861316378944366,-0.06511851898763683,9.367506770274758e-17,1,0,0.0,0.385326623266524
0.0,0.903571,0.0,0.3743911635509676,-0.06513283175647383,-1.0755285551056204e-16,1,0,0.0,0.3730052237762362
0.0,0.871429,0.0,0.36171732685329516,-0.06514174228388261,5.551115123125784e-17,1,0,0.0,0.36070204277122847
0.0,0.8392859999999999,0.0,0.3484083580242441,-0.06517642746216534,1.2143064331837647e-16,1,0,0.0,0.34842696952003066
0.0,0.807143,0.0,0.3356801698298568,-0.0652081828713031,-1.1102230246251563e-16,1,0,0.0,0.3361852055273305
0.0,0.775,0.0,0.32387779742134626,-0.06524243356261604,1.2143064331837647e-16,1,0,0.0,0.32398560609991006
0.0,0.742857,0.0,0.31205687759052125,-0.06527741461795333,1.8388068845354155e-16,1,0,0.0,0.311838356867284
0.0,0.710714,0.0,0.2995617915526054,-0.0653464999406173,-5.204170427930421e-17,1,0,0.0,0.29971660141526
0.0,0.678571,0.0,0.2870624516967837,-0.06540854395834607,-4.163336342344337e-17,1,0,0.0,0.2876591681399029
0.0,0.646429,0.0,0.2754306446670398,-0.06549164175599517,-1.7347234759768068e-16,1,0,0.0,0.275673373967445
0.0,0.614286,0.0,0.26434213282709607,-0.06565066750234005,-2.775557561562892e-17,1,0,0.0,0.2637647939810555
0.0,0.582143,0.0,0.25280982249933004,-0.0656970707995401,1.2143064331837647e-16,1,0,0.0,0.25197368107278956
0.0,0.55,0.0,0.24061849631743826,-0.06583295373154484,-1.734723475976807e-17,1,0,0.0,0.24029263697213105
0.0,0.517857,0.0,0.22840789034444242,-0.06598825882289719,-2.0816681711721685e-17,1,0,0.0,0.22874444889607204
0.0,0.485714,0.0,0.21664025839345413,-0.06615698628567093,-1.734723475976807e-17,1,0,0.0,0.21735705533624283
0.0,0.453571,0.0,0.2052941829961128,-0.06641923033648996,-1.457167719820518e-16,1,0,0.0,0.2061199788432218
0.0,0.421429,0.0,0.19438552977271684,-0.06671359981628762,3.469446951953614e-18,1,0,0.0,0.19510047493994687
0.0,0.389286,0.0,0.18397175282098033,-0.06709701846602593,-1.734723475976807e-17,1,0,0.0,0.18433390447746084
0.0,0.357143,0.0,0.1737093427373111,-0.0675502581228104,-4.8572257327350605e-17,1,0,0.0,0.17387107348603584
0.0,0.325,0.0,0.1632242934133501,-0.06830826402848024,-2.4286128663675296e-17,1,0,0.0,0.1637813582743788
0.0,0.292857,0.0,0.15299122385567898,-0.06933836856485098,-6.245004513516506e-17,1,0,0.0,0.15415995275377495
0.0,0.260714,0.0,0.14399991090158437,-0.07089468677079848,1.6653345369377348e-16,1,0,0.0,0.14513563573804475
0.0,0.228571,0.0,0.1363832154333977,-0.07341576607278553,-1.4918621893400539e-16,1,0,0.0,0.13690157625623067
0.0,0.196429,0.0,0.129445455622772,-0.07838707137154181,-5.377642775528102e-17,1,0,0.0,0.12962088764982865
0.0,0.164286,0.0,0.12352787803160936,-0.08953556641151529,-6.245004513516506e-17,1,0,0.0,0.12378816149553376
