x,y,ux,uy,vx,vy,ax,ay,bcx,bcy,ux_orig,uy_orig
0.1,0.0,0.11913530563856511,0.0,0.0034189248821966944,0.0,-0.8352418697649133,0.0,0,3,0.11993051748566774,0.0
1.6684e-15,0.1,0.0,0.16150052437478735,0.0,-0.06271809301724995,0.0,1.077787969983035,1,0,0.0,0.16189343771577624
0.0,1.0,0.0,0.5,0.0,0.1000000000001,0.0,0.0,1,4,0.0,0.5
1.0,1.0,0.25,0.5,0.05000000000005,0.1000000000001,0.0,0.0,2,4,0.25,0.5
1.0,0.0,0.25,0.0,0.05000000000005,0.0,0.0,0.0,2,3,0.25,0.0
0.09807850000000001,0.019509,0.1186928876265938,0.03055787991888792,-0.0049816684499076605,-0.013016506908462497,-0.4347755745703896,-0.6337948538388816,0,0,0.11792753642542177,0.02967182946719174
0.092388,0.0382683,0.11226990609338827,0.05921460127228784,-0.001884764163628816,-0.025182010515850672,-0.42385484774754006,0.18456176344161523,0,0,0.1119719017214933,0.058616475253804
0.083147,0.055557,0.10160471641665936,0.08583549384366052,-0.004607049669570762,-0.04239814800945096,-1.5335749534856056,-0.013942950960466048,0,0,0.10180454791241078,0.08573958320881356
0.0707107,0.0707107,0.08738045643031,0.10978208107098908,-0.0035722977473687245,-0.051750785773491126,-0.9083292892148042,-0.6361893546691366,0,0,0.0869290203071536,0.1094084664002112
0.055557,0.083147,0.06993908036156427,0.13039597389160917,-0.0007619578855366793,-0.05811476755629431,-0.29273286780706614,0.06961346638023613,0,0,0.06934721045200443,0.13123626864789523
0.0382683,0.092388,0.04953173074682127,0.14683435888105123,0.004043826312052218,-0.06261701723200841,-0.6761118482787042,0.9191112884665564,0,0,0.04841798199677168,0.14783808657866168
0.019509,0.09807850000000001,0.02625214063959902,0.15784302707515963,0.004673084936695007,-0.06451103051884066,-0.7650463499687955,0.19427553801798503,0,0,0.024853336502348188,0.15825737781437205
0.0,0.967857,0.0,0.48421131008257134,0.0,0.09721697771442049,0.0,-0.9928024041760963,1,0,0.0,0.4839601877713536
0.0,0.935714,0.0,0.46854967967448147,0.0,0.08191716247607506,0.0,0.7917494604381403,1,0,0.0,0.4677617472353377
0.0,0.903571,0.0,0.45291959260759995,0.0,0.09315110010316152,0.0,1.8051746070169017,1,0,0.0,0.4515159602565632
0.0,0.871429,0.0,0.4365341285717932,0.0,0.0890527080973924,0.0,1.7733215534887492,1,0,0.0,0.4355063237546808
0.0,0.8392859999999999,0.0,0.41972779778598124,0.0,0.09127529263214253,0.0,0.5228539518009612,1,0,0.0,0.4197628887057517
0.0,0.807143,0.0,0.40362670271065326,0.0,0.08582573934115545,0.0,-0.20888874380231567,1,0,0.0,0.4041653689068624
0.0,0.775,0.0,0.38848039185268135,0.0,0.07321999317605465,0.0,0.3970127504526744,1,0,0.0,0.3885781476080092
0.0,0.742857,0.0,0.3733346082965454,0.0,0.08189856630078096,0.0,0.4802096290057456,1,0,0.0,0.3731112580353803
0.0,0.710714,0.0,0.35757274313459675,0.0,0.07998331316177996,0.0,0.27534383661986794,1,0,0.0,0.3577476703914219
0.0,0.678571,0.0,0.3418682625647307,0.0,0.07825088929172552,0.0,0.785365845967778,1,0,0.0,0.342458593067828
0.0,0.646429,0.0,0.3270701478513729,0.0,0.06976620043341875,0.0,0.5977725370254204,1,0,0.0,0.3273169438044944
0.0,0.614286,0.0,0.31288762070244047,0.0,0.06333815220166406,0.0,1.3534227072398153,1,0,0.0,0.31228204121348274
0.0,0.582143,0.0,0.298425774874886,0.0,0.05562513709311823,0.0,1.0961520774399602,1,0,0.0,0.2976217919633631
0.0,0.55,0.0,0.28352307213390304,0.0,0.04218889548185389,0.0,1.6701207694591602,1,0,0.0,0.2831852102432268
0.0,0.517857,0.0,0.2688083457551329,0.0,0.043511261366702136,0.0,0.6748062081340933,1,0,0.0,0.2691629583331453
0.0,0.485714,0.0,0.25475423262514596,0.0,0.03150764345052903,0.0,1.9325048741802848,1,0,0.0,0.2554380971361823
0.0,0.453571,0.0,0.2413914847511478,0.0,0.01477425605536653,0.0,0.9378154169903395,1,0,0.0,0.2422335276464561
0.0,0.421429,0.0,0.22875525635845406,0.0,0.012372166351484748,0.0,0.7745765952249517,1,0,0.0,0.22945445911030257
0.0,0.389286,0.0,0.21691720926719427,0.0,-0.009634384071505185,0.0,0.8106948751196441,1,0,0.0,0.21730022217013867
0.0,0.357143,0.0,0.20563748713720997,0.0,-0.03129344073586615,0.0,0.8906251409979139,1,0,0.0,0.20587774388508792
0.0,0.325,0.0,0.19462763790170357,0.0,-0.07064720108952705,0.0,-0.010754189899708775,1,0,0.0,0.19509967344638593
0.0,0.292857,0.0,0.1842883248536964,0.0,-0.07464078935225105,0.0,-0.7898558702923442,1,0,0.0,0.18538865157753903
0.0,0.260714,0.0,0.1756326269173769,0.0,-0.05357624310274589,0.0,-0.30844715462330363,1,0,0.0,0.17683131626145973
0.0,0.228571,0.0,0.16917766435290105,0.0,-0.057293728954327376,0.0,-3.586435259883558,1,0,0.0,0.16988182169102006
0.0,0.196429,0.0,0.1644338484434229,0.0,-0.05348576147964912,0.0,-0.8170331786128138,1,0,0.0,0.1644191014479897
0.0,0.164286,0.0,0.161143476613006,0.0,-0.055535175745233256,0.0,0.6257348854343814,1,0,0.0,0.16122186716573747
0.0,0.132143,0.0,0.16033109628801867,0.0,-0.05999710763066046,0.0,1.176445472983456,1,0,0.0,0.1604201888562316
0.96875,1.0,0.24131118122659245,0.5,0.041494517738563386,0.1000000000001,1.285209218909733,0.0,0,4,0.24151163688723828,0.5
