id,x,y,ux,uy,fintx,finty,bcx,bcy,ux_orig,uy_orig
0.0,0.1,0.0,0.31663558798118174,2.7662255888571963e-05,1.3792114152144655e-13,-0.05680264500869814,0.0,3.0,0.3145233846925811,0.0
1.0,1.6684e-15,0.1,0.0003119019213499996,0.374470585018571,-0.05530351427253469,1.7052331768852014e-14,1.0,0.0,0.0,0.3747273957140704
2.0,0.0,1.0,-4.7082252422114834e-05,0.4003173487535605,-0.034666172189660664,0.033388327301479635,1.0,4.0,0.0,0.4
3.0,1.0,1.0,0.19969096929344232,0.39979956173556275,0.03285731706115597,0.03423461006224947,2.0,4.0,0.2,0.4
4.0,1.0,0.0,0.20030064243292145,0.00013850593313691206,0.031436497472590925,-0.036281543878297316,2.0,3.0,0.2,0.0
5.0,0.09807850000000001,0.019509,0.30982037036483234,0.07514676535720355,3.740124529527655e-13,9.59995971605565e-14,0.0,0.0,0.307290758816672,0.07414410662583286
6.0,0.092388,0.0382683,0.291090491588875,0.14649870489665773,1.0878659084667675e-12,6.106226635438361e-13,0.0,0.0,0.2883276685054733,0.14463824907223732
7.0,0.083147,0.055557,0.26120167743101774,0.21127045206230832,8.89250478808279e-13,7.899375598086067e-13,0.0,0.0,0.25688788069958296,0.20669387702638173
8.0,0.0707107,0.0707107,0.22158754950805815,0.26725938960225903,8.967236675427868e-13,8.383363447883597e-13,0.0,0.0,0.21703808515332365,0.25408952684519653
9.0,0.055557,0.083147,0.17391224773837166,0.3128438441599428,7.704104281608393e-13,1.0057861661583178e-12,0.0,0.0,0.17024978326201892,0.3030150711777416
10.0,0.0382683,0.092388,0.11984835606426714,0.3466677316610003,6.74579749698756e-14,2.35533380993358e-13,0.0,0.0,0.1209863507562386,0.3386982639550328
11.0,0.019509,0.09807850000000001,0.061214675338305824,0.3674988181483059,-1.469510277352093e-13,1.8659639805518324e-13,0.0,0.0,0.06054174159012005,0.3638588251943812
12.0,0.0,0.967857,6.226795085240155e-05,0.3931613482809553,-0.06932804035857393,7.63278329429795e-17,1.0,0.0,0.0,0.3930396577684881
13.0,0.0,0.935714,-7.660310075152665e-07,0.38623613139418467,-0.06934589481289259,-7.979727989493311e-17,1.0,0.0,0.0,0.386105075929363
14.0,0.0,0.903571,8.357510523637757e-05,0.37964908711410317,-0.06937941619133924,4.510281037539698e-17,1.0,0.0,0.0,0.37921961423718903
15.0,0.0,0.871429,7.569765512016602e-05,0.37326159334861586,-0.0693795809554604,-1.3877787807814454e-16,1.0,0.0,0.0,0.3724085387064294
16.0,0.0,0.839286,-9.434941966901533e-05,0.3668504542374649,-0.06944671049089599,2.4286128663675293e-17,1.0,0.0,0.0,0.365716308539344
17.0,0.0,0.807143,-0.0001560895034344867,0.36041761905289604,-0.06949443160801355,-2.498001805406602e-16,1.0,0.0,0.0,0.35916055078340314
18.0,0.0,0.775,-3.2899624784477055e-06,0.3540925884626631,-0.06952550898322976,3.8163916471489756e-17,1.0,0.0,0.0,0.3527752868770148
19.0,0.0,0.742857,9.318962838733569e-05,0.34793895284747123,-0.06951639613674576,7.63278329429795e-17,1.0,0.0,0.0,0.346588689913404
20.0,0.0,0.710714,-2.1947413188172504e-05,0.34201113927338156,-0.0698005993726133,-2.0469737016526324e-16,1.0,0.0,0.0,0.34050084340357817
21.0,0.0,0.678571,-0.00010473306247149594,0.33637517245369963,-0.06990426846549393,-5.551115123125783e-17,1.0,0.0,0.0,0.3346706483686055
22.0,0.0,0.646429,1.2730928574455902e-05,0.33104667633597273,-0.07004699226798261,2.0469737016526324e-16,1.0,0.0,0.0,0.32913907840659185
23.0,0.0,0.614286,0.00011881640239153057,0.3261265945402556,-0.07057532727775609,-2.1163626406917047e-16,1.0,0.0,0.0,0.32395034178895143
24.0,0.0,0.582143,8.550759957870468e-05,0.32181768707960146,-0.07052237399102101,-3.295974604355933e-16,1.0,0.0,0.0,0.3191810120756402
25.0,0.0,0.55,0.00010173639020649716,0.31805322591753793,-0.07075975456039353,-1.0408340855860844e-16,1.0,0.0,0.0,0.3149199202240125
26.0,0.0,0.517857,0.00017091078916564584,0.31451582724184846,-0.07099669898546097,-4.163336342344337e-16,1.0,0.0,0.0,0.3112469166454088
27.0,0.0,0.485714,4.233307117829099e-05,0.311300617417146,-0.07109664907716225,-2.5587171270657905e-16,1.0,0.0,0.0,0.3082579594420374
28.0,0.0,0.453571,-0.0001386182993883267,0.30895433284240426,-0.07170764580586125,-2.0816681711721683e-16,1.0,0.0,0.0,0.30586494547385623
29.0,0.0,0.421429,3.0774357583140954e-05,0.3076632975244138,-0.07203301775378587,-4.1286418728248004e-16,1.0,0.0,0.0,0.3043602437372545
30.0,0.0,0.389286,0.00030601700200350024,0.3072567413801153,-0.07237342465344347,-3.6082248300317592e-16,1.0,0.0,0.0,0.3038793370228964
31.0,0.0,0.357143,0.00013643656529893633,0.3079997352324426,-0.0728828880123185,-4.40619762898109e-16,1.0,0.0,0.0,0.3046101805846524
32.0,0.0,0.325,-0.00014285855286289006,0.3102064717859321,-0.07432937657281499,-7.355227538141662e-16,1.0,0.0,0.0,0.3061915977206988
33.0,0.0,0.292857,9.412395229446702e-05,0.3134559956015437,-0.075183905340478,5.551115123125783e-17,1.0,0.0,0.0,0.30946750445630816
34.0,0.0,0.260714,0.00029988996175234206,0.3177777791643166,-0.0764879194570508,-8.222589276130066e-16,1.0,0.0,0.0,0.3146002563285677
35.0,0.0,0.228571,-0.00017270424177695531,0.3245762809547159,-0.0771946236656741,3.4182726094122984e-15,1.0,0.0,0.0,0.3218056439034425
36.0,0.0,0.196429,-0.0002872337900043931,0.33424170178113854,-0.08134558125336502,5.767955557622885e-15,1.0,0.0,0.0,0.3312920762494329
37.0,0.0,0.164286,0.0005938314770901343,0.34519685715667947,-0.08670671475845096,2.2093438190040612e-14,1.0,0.0,0.0,0.3432994544608367
38.0,0.0,0.132143,0.0004997590049242717,0.3582584851574211,-0.09533921741612159,-3.915270885279653e-15,1.0,0.0,0.0,0.35786057646625713
39.0,0.96875,1.0,0.19510763782818685,0.3997007699108508,-1.142846498588656e-16,0.06847169233340253,0.0,4.0,0.19519799534326607,0.4
40.0,0.9375,1.0,0.19033537906216225,0.40000330432667397,-9.101496073189544e-17,0.06846581697102384,0.0,4.0,0.1903828386134763,0.4
41.0,0.90625,1.0,0.18559021862984082,0.40011565649183467,3.3171588983667635e-16,0.06845628649238823,0.0,4.0,0.18554351845074032,0.4
42.0,0.875,1.0,0.1808953735489922,0.3999745925211755,-8.321421080415697e-17,0.06844305104153076,0.0,4.0,0.18066927435456825,0.4
43.0,0.84375,1.0,0.17621914789197035,0.39991434465991915,-4.605487540811082e-17,0.068408155884593,0.0,4.0,0.1757622921836466,0.4
44.0,0.8125,1.0,0.1713900107279187,0.4000246356117714,4.805726129541998e-17,0.06838390389718048,0.0,4.0,0.17079782126669307,0.4
45.0,0.78125,1.0,0.16627829080971424,0.40013339012512006,-6.905351399195958e-17,0.06836267806749588,0.0,4.0,0.16576582295839282,0.4
46.0,0.75,1.0,0.1610472481843317,0.40012930475495523,9.823549309076471e-17,0.06834901807221136,0.0,4.0,0.16065188298654462,0.4
47.0,0.71875,1.0,0.15591521191527136,0.4000419767507992,-1.4320955445817907e-16,0.0682425222364223,0.0,4.0,0.1554892513928512,0.4
48.0,0.6875,1.0,0.1507781536274706,0.3999419382707856,3.592097322716037e-17,0.06819587440433095,0.0,4.0,0.15023158170538786,0.4
49.0,0.65625,1.0,0.14539573431829922,0.3998984760019084,-3.286487835346685e-17,0.06813995228321827,0.0,4.0,0.14487149714942993,0.4
50.0,0.625,1.0,0.13982082684378838,0.39995064284448745,-9.721566542227057e-17,0.06802465827728713,0.0,4.0,0.13939997283966946,0.4
51.0,0.59375,1.0,0.13429080959031126,0.4000560499571293,1.165856148600819e-17,0.06800859141640997,0.0,4.0,0.13379778456830874,0.4
52.0,0.5625,1.0,0.1287815407704329,0.4001235753130459,1.6004348725191103e-16,0.06793596869789842,0.0,4.0,0.12805799547557115,0.4
53.0,0.53125,1.0,0.12300085317838239,0.4001066728233127,-1.472753126049997e-16,0.06786486862821416,0.0,4.0,0.12217219161591715,0.4
54.0,0.5,1.0,0.11680297086422797,0.40003113504644716,-6.575262659650957e-17,0.06777063193120342,0.0,4.0,0.11613281254144785,0.4
55.0,0.46875,1.0,0.11036455413341173,0.39996478312968975,8.007171856984352e-17,0.0676982866426927,0.0,4.0,0.10996732968867956,0.4
56.0,0.4375,1.0,0.1039322057094978,0.3999760261576739,1.744616820800737e-16,0.06763473390484695,0.0,4.0,0.10363892790260333,0.4
57.0,0.40625,1.0,0.09753368366637005,0.40005320134514477,-2.7206020639450323e-16,0.06756901220496637,0.0,4.0,0.09714133133625304,0.4
58.0,0.375,1.0,0.09097568079323537,0.4000695128488587,1.5110390152658915e-16,0.06749777838901366,0.0,4.0,0.09046030797648238,0.4
59.0,0.34375,1.0,0.08409928414221213,0.3999392860205262,-5.5035118714900904e-17,0.06732740996816465,0.0,4.0,0.08365317903593586,0.4
60.0,0.3125,1.0,0.07699233343373635,0.3997936078085331,-1.9366561306022323e-17,0.06725846845316819,0.0,4.0,0.07667065305859663,0.4
61.0,0.28125,1.0,0.069860158902884,0.3998395794769749,-1.2403781073002523e-16,0.0671923832310872,0.0,4.0,0.06952337589529667,0.4
