x,y,ux,uy,vx,vy,ax,ay,bcx,bcy,ux_orig,uy_orig
0.1,0.0,0.32110211606050143,0.0,0.14489571586520644,0.0,-3.324390114578524,0.0,0,3,0.32128318100506315,0.0
1.6684e-15,0.1,0.0,0.3731491497892421,0.0,0.24891649356109655,0.0,1.2770380600213291,1,0,0.0,0.3729928896217945
0.0,1.0,0.0,0.4,0.0,0.09999999999996124,0.0,-1.3877787807814455e-09,1,4,0.0,0.4
1.0,1.0,0.2,0.4,0.049999999999980616,0.09999999999996124,-6.938893903907227e-10,-1.3877787807814455e-09,2,4,0.2,0.4
1.0,0.0,0.2,0.0,0.049999999999980616,0.0,-6.938893903907227e-10,0.0,2,3,0.2,0.0
0.09807850000000001,0.019509,0.3130629627266899,0.07878174394136295,0.14073229938751927,0.04595796614687009,-0.8336881088255588,-1.597295036515067,0,0,0.31238923293979165,0.0789520013954917
0.092388,0.0382683,0.28904795480775647,0.1523414239345584,0.15483012217570868,0.0691603960385756,1.2361092732726675,-1.7755528824991984,0,0,0.2899157259882757,0.15261081708563684
0.083147,0.055557,0.2548559005226707,0.21354969189269468,0.13630145390824963,0.12721487422748257,0.2329964693403852,-1.2930080756090587,0,0,0.25514603772430444,0.21486625368364048
0.0707107,0.0707107,0.2140756750231958,0.2633475904003717,0.1043012731898052,0.1654162159943351,1.0874633027402325,0.030505835357796936,0,0,0.21452238403253923,0.25965519650470065
0.055557,0.083147,0.16840358033732628,0.30468032603675965,0.11028058536283192,0.1693725645962596,-0.3577806786947413,-0.22726609483214588,0,0,0.16724073193476763,0.306059148959641
0.0382683,0.092388,0.11758421979902778,0.3384372801956488,0.11777998655745912,0.18115213463468227,-0.13000159213016893,1.642776441268534,0,0,0.11891246057909768,0.33909873474464913
0.019509,0.09807850000000001,0.06066343933343887,0.3627317838545423,0.060661599119941206,0.22328105732508097,0.8534391705491972,0.02420657979618213,0,0,0.058604710060290416,0.3631368736639405
0.0,0.967857,0.0,0.3931706644020778,0.0,0.10602018211902652,0.0,0.41013763774078166,1,0,0.0,0.3931394982296654
0.0,0.935714,0.0,0.3864692286197169,0.0,0.10688933532190802,0.0,-0.7662494819205001,1,0,0.0,0.38642295481621297
0.0,0.903571,0.0,0.3799923911301448,0.0,0.11596090576410088,0.0,0.13240447072071504,1,0,0.0,0.3797904268330273
0.0,0.871429,0.0,0.3734384100189345,0.0,0.1230026604344403,0.0,-1.2759491449521043,1,0,0.0,0.3733696769816496
0.0,0.8392859999999999,0.0,0.366800573621731,0.0,0.1349344042997358,0.0,-0.9618835894453779,1,0,0.0,0.366830561341138
0.0,0.807143,0.0,0.36027860862304806,0.0,0.13065988547389384,0.0,1.4485495858362896,1,0,0.0,0.3602899247169096
0.0,0.775,0.0,0.3540682498969545,0.0,0.14090485464995917,0.0,-0.07932958179246441,1,0,0.0,0.3541446973945615
0.0,0.742857,0.0,0.3481280089908978,0.0,0.1578648551596451,0.0,1.260475000763872,1,0,0.0,0.34808364050893326
0.0,0.710714,0.0,0.3422576844714058,0.0,0.14766758541992497,0.0,-0.9928866187558506,1,0,0.0,0.34225036150660343
0.0,0.678571,0.0,0.33650110488088103,0.0,0.17407436707528312,0.0,-1.1182962084133052,1,0,0.0,0.33656634069242986
0.0,0.646429,0.0,0.3311176264742244,0.0,0.1808985382674433,0.0,-0.868464704317784,1,0,0.0,0.3311728403078933
0.0,0.614286,0.0,0.32611218246074714,0.0,0.1757498414958758,0.0,-0.22553167111638567,1,0,0.0,0.3260425874824753
0.0,0.582143,0.0,0.32132447867115843,0.0,0.17714410909697165,0.0,-0.1865554349889109,1,0,0.0,0.32126304494223373
0.0,0.55,0.0,0.3169455853239924,0.0,0.1708330660744883,0.0,1.2827133896720075,1,0,0.0,0.3168899018065212
0.0,0.517857,0.0,0.3133157667325577,0.0,0.17798757933520923,0.0,0.27489710646699805,1,0,0.0,0.31333050047309996
0.0,0.485714,0.0,0.3103824286881718,0.0,0.1800393230340369,0.0,-0.14905331274794875,1,0,0.0,0.3104381335287828
0.0,0.453571,0.0,0.3080227413884131,0.0,0.16066386731392046,0.0,-1.0590087265449633,1,0,0.0,0.3081583981079251
0.0,0.421429,0.0,0.3065100763196824,0.0,0.16452361255150927,0.0,-2.3179558564234704,1,0,0.0,0.306699829408067
0.0,0.389286,0.0,0.3060046206737752,0.0,0.1660351171840768,0.0,0.39476911878333354,1,0,0.0,0.3058592042923062
0.0,0.357143,0.0,0.306228659581393,0.0,0.16310426475332762,0.0,7.465278395457631e-05,1,0,0.0,0.30623225722019287
0.0,0.325,0.0,0.30724378176091705,0.0,0.170685707945456,0.0,-0.7224128392713246,1,0,0.0,0.30733334808814405
0.0,0.292857,0.0,0.3097481113363756,0.0,0.18905070048674807,0.0,0.3600307024731464,1,0,0.0,0.30998114852276804
0.0,0.260714,0.0,0.3143012361979345,0.0,0.20652101487370067,0.0,-0.7174786501029651,1,0,0.0,0.3145178683042033
0.0,0.228571,0.0,0.32113439850945724,0.0,0.20754161514174865,0.0,-0.20047082327501184,1,0,0.0,0.321121002649924
0.0,0.196429,0.0,0.3303777910550707,0.0,0.2082817779379409,0.0,1.044501272973175,1,0,0.0,0.33002251711995806
0.0,0.164286,0.0,0.3417549015430268,0.0,0.22431579693088513,0.0,0.3017840977115327,1,0,0.0,0.34164481079052134
0.0,0.132143,0.0,0.3556765833927784,0.0,0.23955618957835487,0.0,0.7983810848544158,1,0,0.0,0.356052293266889
