x,y,ux,uy,vx,vy,ax,ay,bcx,bcy,ux_orig,uy_orig
0.1,0.0,0.2987799437105423,0.0,0.038735966430558655,0.0,2.8609206920160446,0.0,0,3,0.2989538852569288,0.0
1.6684e-15,0.1,0.0,0.38184035877202405,0.0,0.1378764241821706,0.0,-2.373189172955037,1,0,0.0,0.3818471657322828
0.0,1.0,0.0,1.0,0.0,0.09999999999982243,0.0,-2.7755575615628914e-09,1,4,0.0,1.0
1.0,1.0,0.5,1.0,0.04999999999991123,0.09999999999982243,-1.3877787807814455e-09,-2.7755575615628914e-09,2,4,0.5,1.0
1.0,0.0,0.5,0.0,0.04999999999991123,0.0,-1.3877787807814455e-09,0.0,2,3,0.5,0.0
0.09807850000000001,0.019509,0.2940539662304218,0.06821842672070488,0.03968587979963356,0.0267938117457997,1.2659919418345211,-0.031890958276936665,0,0,0.2936139909779081,0.06795239737079527
0.092388,0.0382683,0.27963921250920976,0.13497835135785863,0.03886643516082256,0.04655539677198006,-0.0145339962287494,-0.9145478166439068,0,0,0.2798094696776922,0.13481880315747582
0.083147,0.055557,0.254694209615991,0.1979072337053367,0.04711662986392473,0.06495248020432776,-0.21262343136152492,0.24332117987135857,0,0,0.25555133263127594,0.1981211970105656
0.0707107,0.0707107,0.21980414878635202,0.25532037522498285,0.04254092271512022,0.08281346100327824,-0.5816559046911696,-0.9087724336942493,0,0,0.21927398240354745,0.25425292595846194
0.055557,0.083147,0.17589979448530357,0.30546122616215143,0.03423964075030539,0.10589105248898222,-0.10647581705214292,-1.3007761978656163,0,0,0.17598948650384133,0.30604908933076636
0.0382683,0.092388,0.12365761893306626,0.34570003949920647,0.02889505325037733,0.12675203569595395,-0.3960695778293388,0.3228152495315939,0,0,0.12354319085958476,0.3466166283906424
0.019509,0.09807850000000001,0.06410467917157803,0.37248464571894147,0.017448626541266554,0.13676069038084937,-1.5392817249992863,-0.013857635872138728,0,0,0.0635943040666095,0.372434081871009
0.0,0.967857,0.0,0.9706843550502526,0.0,0.10459494949099923,0.0,0.314641968035545,1,0,0.0,0.970655503910585
0.0,0.935714,0.0,0.9416096892073256,0.0,0.0949497296609536,0.0,-0.6838471455772321,1,0,0.0,0.9415360988877524
0.0,0.903571,0.0,0.9126470358369261,0.0,0.08145297516054528,0.0,-0.7436451260334209,1,0,0.0,0.9125043015714629
0.0,0.871429,0.0,0.8834702559634025,0.0,0.10636210753506292,0.0,0.42988496928852976,1,0,0.0,0.8833463471477683
0.0,0.8392859999999999,0.0,0.8542678013072873,0.0,0.12253221581215444,0.0,0.8018003705423382,1,0,0.0,0.8542912703500285
0.0,0.807143,0.0,0.8252907703172241,0.0,0.13972549815693955,0.0,0.2914777502693866,1,0,0.0,0.8253561641314929
0.0,0.775,0.0,0.7965835651157249,0.0,0.1479559771253025,0.0,-0.3633455453178058,1,0,0.0,0.7966109812599462
0.0,0.742857,0.0,0.7679652541901305,0.0,0.1583130069771066,0.0,-0.40410919055489103,1,0,0.0,0.7679294047204601
0.0,0.710714,0.0,0.7392543591158756,0.0,0.1510366313681177,0.0,-1.612002861750561,1,0,0.0,0.7392570953531327
0.0,0.678571,0.0,0.7105538627547503,0.0,0.15942510286304223,0.0,-1.083336620411046,1,0,0.0,0.7106167197997111
0.0,0.646429,0.0,0.6820931810325419,0.0,0.15653119092851053,0.0,-0.32103184000042967,1,0,0.0,0.6821313108757392
0.0,0.614286,0.0,0.6539008145700791,0.0,0.16727512492098473,0.0,-0.48925640760977274,1,0,0.0,0.6537886719484934
0.0,0.582143,0.0,0.6259818011712923,0.0,0.17453137057615864,0.0,-1.2207173799572146,1,0,0.0,0.626009037417253
0.0,0.55,0.0,0.5985506388824433,0.0,0.1827848995697434,0.0,1.1018464557421837,1,0,0.0,0.5984780730671084
0.0,0.517857,0.0,0.5717688230288331,0.0,0.1775434740178272,0.0,-0.6120970147405203,1,0,0.0,0.5717412791262055
0.0,0.485714,0.0,0.5456582719889411,0.0,0.16090750328573433,0.0,0.6744960340254735,1,0,0.0,0.5457303072165828
0.0,0.453571,0.0,0.5205042986381159,0.0,0.11527644680431325,0.0,-0.05084045962000516,1,0,0.0,0.5207269681472119
0.0,0.421429,0.0,0.49681086226701154,0.0,0.12433016982352219,0.0,1.1150248627189718,1,0,0.0,0.4967804716741234
0.0,0.389286,0.0,0.47482307869904616,0.0,0.1305045414308481,0.0,0.13001806714596495,1,0,0.0,0.47481011626797937
0.0,0.357143,0.0,0.45468529477784614,0.0,0.1315899939863252,0.0,0.5698970434453443,1,0,0.0,0.45487309421914807
0.0,0.325,0.0,0.43680399891945854,0.0,0.1454496858925569,0.0,2.0944023251812105,1,0,0.0,0.4367185393448206
0.0,0.292857,0.0,0.4215622664123657,0.0,0.13384533312510438,0.0,1.2398922027978543,1,0,0.0,0.4216004523499312
0.0,0.260714,0.0,0.40923522495722864,0.0,0.1415408069133095,0.0,-1.0616167639421192,1,0,0.0,0.4095944211884615
0.0,0.228571,0.0,0.40018015664827544,0.0,0.1518464415745102,0.0,-0.33925766917963784,1,0,0.0,0.40034623891232146
0.0,0.196429,0.0,0.393903248164861,0.0,0.15400882073302036,0.0,1.2604127297421996,1,0,0.0,0.39351229397336274
0.0,0.164286,0.0,0.38882867547363276,0.0,0.14865720044734965,0.0,0.6062682481045023,1,0,0.0,0.3887744620782077
0.0,0.132143,0.0,0.38492342073004693,0.0,0.14238461330140506,0.0,-1.3211662097667443,1,0,0.0,0.38525543113128285
